Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
BR;Rio de Janeiro;Campo Grande;-22.8862, -43.5567;SO2;rio-city-hall;µg/m³;6.44;2023-09-20T05:00:00-03:00;Brazil
BR;Rio de Janeiro;Bangu;-22.8879, -43.4711;NO2;rio-city-hall;µg/m³;4.75;2023-09-20T03:00:00-03:00;Brazil
BR;Rio de Janeiro;Bangu;-22.8879, -43.4711;SO2;rio-city-hall;µg/m³;2.81;2023-09-20T05:00:00-03:00;Brazil
BR;Rio de Janeiro;Irajá;-22.8316, -43.3269;NOX;rio-city-hall;µg/m³;32.79;2023-09-20T05:00:00-03:00;Brazil
BR;Campinas;Campinas-Centro;-22.9025248, -47.05721074;PM10;Sao Paulo CETESB;µg/m³;0.0;2023-04-04T18:00:00-03:00;Brazil
BR;Limeira;Limeira;-22.563603780000005, -47.41431402999999;PM2.5;Sao Paulo CETESB;µg/m³;28.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Parque D.Pedro II;-23.54484566, -46.62767559;CO;Sao Paulo CETESB;ppm;0.3;2023-04-05T12:00:00-03:00;Brazil
BR;Jacareí;Jacareí;-23.29419924, -45.96823386;PM10;Sao Paulo CETESB;µg/m³;32.0;2023-04-05T12:00:00-03:00;Brazil
BR;Osasco;Osasco;-23.52672142, -46.79207766;PM10;Sao Paulo CETESB;µg/m³;40.0;2023-04-05T12:00:00-03:00;Brazil
BR;Santos;Santos-Ponta da Praia;-23.98129516, -46.30050959;PM2.5;Sao Paulo CETESB;µg/m³;15.0;2023-04-05T12:00:00-03:00;Brazil
BR;Rio de Janeiro;Tijuca;-22.9244, -43.2326;NOX;rio-city-hall;µg/m³;18.94;2023-09-20T05:00:00-03:00;Brazil
BR;;Jundiaí;-23.19200374, -46.89709727;NO2;Sao Paulo CETESB;µg/m³;37.0;2023-04-05T12:00:00-03:00;Brazil
BR;Carapicuíba;Carapicuíba;-23.53139503, -46.83577973;CO;Sao Paulo CETESB;ppm;0.5;2023-04-05T12:00:00-03:00;Brazil
BR;Guaratinguetá;Guaratinguetá;-22.80191714, -45.19112236;NO2;Sao Paulo CETESB;µg/m³;13.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Interlagos;-23.68050765, -46.67504316;PM10;Sao Paulo CETESB;µg/m³;0.0;2023-01-23T10:00:00-03:00;Brazil
BR;São Paulo;Parque D.Pedro II;-23.54484566, -46.62767559;PM2.5;Sao Paulo CETESB;µg/m³;15.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Pinheiros;-23.56145989, -46.70201651;O3;Sao Paulo CETESB;µg/m³;124.0;2023-04-05T12:00:00-03:00;Brazil
BR;Pico do Jaraguá;Pico do Jaraguá;-23.4562689, -46.76609776;PM2.5;Sao Paulo CETESB;µg/m³;18.0;2023-04-05T12:00:00-03:00;Brazil
BR;;Taboão da Serra;-23.60932386, -46.75829437;CO;Sao Paulo CETESB;ppm;0.3;2023-03-30T12:00:00-03:00;Brazil
BR;São Paulo;Ibirapuera;-23.59184199, -46.6606875;PM2.5;Sao Paulo CETESB;µg/m³;7.0;2023-02-15T21:00:00-03:00;Brazil
BR;Bauru;Bauru;-22.3266084, -49.09275931;NO2;Sao Paulo CETESB;µg/m³;6.0;2022-10-04T16:00:00-03:00;Brazil
BR;;Mogi das Cruzes;-23.51817223, -46.18686057;NO2;Sao Paulo;µg/m³;39.0;2017-10-27T15:00:00-03:00;Brazil
BR;Rio de Janeiro;Campo Grande;-22.8862, -43.5567;NO;rio-city-hall;µg/m³;2.64;2023-09-20T05:00:00-03:00;Brazil
BR;Rio de Janeiro;Tijuca;-22.9244, -43.2326;PM10;rio-city-hall;µg/m³;42.83;2023-09-20T05:00:00-03:00;Brazil
BR;Rio de Janeiro;Irajá;-22.8316, -43.3269;PM10;rio-city-hall;µg/m³;31.67;2023-09-20T05:00:00-03:00;Brazil
BR;Carapicuíba;Carapicuíba;-23.53139503, -46.83577973;NO2;Sao Paulo CETESB;µg/m³;35.0;2017-10-27T15:00:00-03:00;Brazil
BR;Cerqueira César;Cerqueira César;-23.55354256, -46.67270477;CO;Sao Paulo CETESB;ppm;0.6;2023-04-05T12:00:00-03:00;Brazil
BR;São José dos Campos;S.José Campos-Jd.Satelite;-23.22364548, -45.8908;PM2.5;Sao Paulo CETESB;µg/m³;13.0;2023-03-31T12:00:00-03:00;Brazil
BR;São Paulo;Santo Amaro;-23.65497723, -46.70999838;O3;Sao Paulo CETESB;µg/m³;104.0;2023-04-05T12:00:00-03:00;Brazil
BR;São José do Rio Preto;São José do Rio Preto;-20.78468928, -49.39827779;PM10;Sao Paulo CETESB;µg/m³;38.0;2023-04-05T12:00:00-03:00;Brazil
BR;Rio de Janeiro;Irajá;-22.8316, -43.3269;CO;rio-city-hall;ppm;0.23;2023-09-20T05:00:00-03:00;Brazil
BR;Rio de Janeiro;São Cristóvão;-22.8961, -43.2212;PM10;rio-city-hall;µg/m³;61.83;2023-09-20T05:00:00-03:00;Brazil
BR;Campinas;Campinas-V.União;-22.94672842, -47.11928086;PM2.5;Sao Paulo CETESB;µg/m³;17.0;2023-04-05T12:00:00-03:00;Brazil
BR;Guarulhos;Guarulhos-Paço Municipal;-23.45553426, -46.5185334;O3;Sao Paulo CETESB;µg/m³;67.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Interlagos;-23.68050765, -46.67504316;SO2;Sao Paulo CETESB;µg/m³;0.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Itaim Paulista;-23.50154736, -46.42073684;PM2.5;Sao Paulo CETESB;µg/m³;22.0;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia;Paulínia;-22.772321380000005, -47.15484287;O3;Sao Paulo CETESB;µg/m³;36.0;2023-03-26T16:00:00-03:00;Brazil
BR;Taubaté;Taubaté;-23.03235096, -45.57580502;CO;Sao Paulo CETESB;ppm;0.3;2017-10-12T06:00:00-03:00;Brazil
BR;São Paulo;Congonhas;-23.61632008, -46.66346553;CO;Sao Paulo CETESB;ppm;1.3;2023-04-05T12:00:00-03:00;Brazil
BR;Tatuí;Tatuí;-23.36075154, -47.87079907;PM10;Sao Paulo CETESB;µg/m³;11.0;2023-04-05T12:00:00-03:00;Brazil
BR;Santo André;S.André-Capuava;-23.6398037, -46.49163676999999;NO2;Sao Paulo CETESB;µg/m³;16.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Bernardo do Campo;S.Bernardo-Centro;-23.69867109, -46.54623219;NO2;Sao Paulo CETESB;µg/m³;15.0;2023-04-05T12:00:00-03:00;Brazil
BR;São José dos Campos;S.José Campos-Jd.Satelite;-23.22364548, -45.8908;CO;Sao Paulo CETESB;ppm;0.2;2023-04-05T12:00:00-03:00;Brazil
BR;São José do Rio Preto;São José do Rio Preto;-20.78468928, -49.39827779;PM2.5;Sao Paulo CETESB;µg/m³;15.0;2023-04-05T12:00:00-03:00;Brazil
BR;Ribeirão Preto;Ribeirão Preto;-21.15394189, -47.82848053;NO2;Sao Paulo CETESB;µg/m³;4.0;2023-04-05T12:00:00-03:00;Brazil
BR;;Perus;-23.413209739894405, -46.756053990921224;O3;Sao Paulo CETESB;µg/m³;31.0;2023-04-03T03:00:00-03:00;Brazil
BR;São Paulo;Marg.Tietê-Pte Remédios;-23.51870583, -46.74332004;PM2.5;Sao Paulo CETESB;µg/m³;20.0;2022-10-04T16:00:00-03:00;Brazil
BR;São Paulo;Marg.Tietê-Pte Remédios;-23.51870583, -46.74332004;SO2;Sao Paulo CETESB;µg/m³;1.0;2022-10-04T16:00:00-03:00;Brazil
BR;;Ribeirão Preto-Centro;-21.17706594, -47.81898767;PM10;Sao Paulo;µg/m³;62.0;2017-10-27T15:00:00-03:00;Brazil
BR;Rio de Janeiro;Campo Grande;-22.8862, -43.5567;NO2;rio-city-hall;µg/m³;21.63;2023-09-20T05:00:00-03:00;Brazil
BR;São Paulo;Itaim Paulista;-23.50154736, -46.42073684;O3;Sao Paulo CETESB;µg/m³;83.0;2023-04-05T12:00:00-03:00;Brazil
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;PM2.5;Sao Paulo CETESB;µg/m³;0.0;2023-02-15T21:00:00-03:00;Brazil
BR;Presidente Prudente;Presidente Prudente;-22.11993673, -51.40877707;O3;Sao Paulo CETESB;µg/m³;76.0;2023-04-05T12:00:00-03:00;Brazil
BR;Santo André;S.André-Capuava;-23.6398037, -46.49163676999999;SO2;Sao Paulo CETESB;µg/m³;2.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Bernardo do Campo;S.Bernardo-Centro;-23.69867109, -46.54623219;PM2.5;Sao Paulo CETESB;µg/m³;13.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Santana;-23.50599272, -46.6289603;PM2.5;Sao Paulo CETESB;µg/m³;28.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Santo Amaro;-23.65497723, -46.70999838;PM10;Sao Paulo CETESB;µg/m³;0.0;2023-01-25T06:00:00-03:00;Brazil
BR;São Paulo;Santo Amaro;-23.65497723, -46.70999838;CO;Sao Paulo CETESB;ppm;0.4;2023-04-05T12:00:00-03:00;Brazil
BR;Mauá;Mauá;-23.668549, -46.46600027;PM2.5;Sao Paulo CETESB;µg/m³;13.0;2023-04-05T12:00:00-03:00;Brazil
BR;Jaú;Jaú;-22.29861966, -48.5674574;NO2;Sao Paulo CETESB;µg/m³;13.0;2022-10-04T16:00:00-03:00;Brazil
BR;Rio de Janeiro;Bangu;-22.8879, -43.4711;NO;rio-city-hall;µg/m³;1.33;2023-09-20T03:00:00-03:00;Brazil
BR;Rio de Janeiro;Irajá;-22.8316, -43.3269;NO;rio-city-hall;µg/m³;5.53;2023-09-20T05:00:00-03:00;Brazil
BR;Campinas;Campinas-V.União;-22.94672842, -47.11928086;NO2;Sao Paulo CETESB;µg/m³;14.0;2017-10-27T15:00:00-03:00;Brazil
BR;Catanduva;Catanduva;-21.14194276, -48.98307527;O3;Sao Paulo CETESB;µg/m³;56.0;2023-04-05T10:00:00-03:00;Brazil
BR;Cerqueira César;Cerqueira César;-23.55354256, -46.67270477;PM10;Sao Paulo CETESB;µg/m³;30.0;2023-04-05T12:00:00-03:00;Brazil
BR;;Cubatão-Vale do Mogi;-23.83158901, -46.36956879;PM10;Sao Paulo CETESB;µg/m³;38.0;2023-04-05T12:00:00-03:00;Brazil
BR;Tatuí;Tatuí;-23.36075154, -47.87079907;O3;Sao Paulo CETESB;µg/m³;68.0;2023-04-05T12:00:00-03:00;Brazil
BR;Presidente Prudente;Presidente Prudente;-22.11993673, -51.40877707;PM10;Sao Paulo CETESB;µg/m³;22.0;2023-04-05T12:00:00-03:00;Brazil
BR;Santos;Santos-Ponta da Praia;-23.98129516, -46.30050959;SO2;Sao Paulo CETESB;µg/m³;1.0;2023-04-05T12:00:00-03:00;Brazil
BR;Marília;Marília;-22.19980949, -49.95996975;NO2;Sao Paulo CETESB;µg/m³;7.0;2023-04-05T12:00:00-03:00;Brazil
BR;;Perus;-23.413209739894405, -46.756053990921224;PM2.5;Sao Paulo CETESB;µg/m³;6.0;2023-04-03T03:00:00-03:00;Brazil
BR;;Paulínia-Sul;-22.78680643, -47.13655888;PM10;Sao Paulo;µg/m³;107.0;2017-10-19T21:00:00-03:00;Brazil
BR;Campinas;Campinas-Centro;-22.9025248, -47.05721074;CO;Sao Paulo CETESB;ppm;0.6;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Itaim Paulista;-23.50154736, -46.42073684;NO2;Sao Paulo CETESB;µg/m³;44.0;2023-03-30T02:00:00-03:00;Brazil
BR;São Paulo;Santana;-23.50599272, -46.6289603;O3;Sao Paulo CETESB;µg/m³;8.0;2023-03-30T02:00:00-03:00;Brazil
BR;Santos;Santos-Ponta da Praia;-23.98129516, -46.30050959;O3;Sao Paulo CETESB;µg/m³;64.0;2023-04-05T12:00:00-03:00;Brazil
BR;Diadema;Diadema;-23.68587641, -46.61162193;O3;Sao Paulo CETESB;µg/m³;76.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Mooca;-23.54973405, -46.60041665;PM10;Sao Paulo CETESB;µg/m³;0.0;2022-02-04T15:00:00-03:00;Brazil
BR;Pico do Jaraguá;Pico do Jaraguá;-23.4562689, -46.76609776;O3;Sao Paulo CETESB;µg/m³;143.0;2023-04-05T12:00:00-03:00;Brazil
BR;Piracicaba;Piracicaba;-22.70122234, -47.64965269;NO2;Sao Paulo CETESB;µg/m³;10.0;2022-10-04T16:00:00-03:00;Brazil
BR;;Ribeirão Preto-Centro;-21.17706594, -47.81898767;PM2.5;Sao Paulo;µg/m³;28.0;2017-10-27T15:00:00-03:00;Brazil
BR;;Mogi das Cruzes;-23.51817223, -46.18686057;O3;Sao Paulo;µg/m³;77.0;2017-10-27T15:00:00-03:00;Brazil
BR;Rio de Janeiro;Campo Grande;-22.8862, -43.5567;O3;rio-city-hall;µg/m³;78.94;2023-09-20T05:00:00-03:00;Brazil
BR;Rio de Janeiro;Tijuca;-22.9244, -43.2326;NO2;rio-city-hall;µg/m³;18.06;2023-09-20T05:00:00-03:00;Brazil
BR;Araraquara;Araraquara;-21.78252215, -48.18583181;O3;Sao Paulo CETESB;µg/m³;97.0;2023-04-05T12:00:00-03:00;Brazil
BR;Americana;Americana;-22.7242527, -47.33954929;O3;Sao Paulo CETESB;µg/m³;79.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Itaim Paulista;-23.50154736, -46.42073684;PM10;Sao Paulo CETESB;µg/m³;36.0;2023-04-05T12:00:00-03:00;Brazil
BR;Limeira;Limeira;-22.563603780000005, -47.41431402999999;NO2;Sao Paulo CETESB;µg/m³;23.0;2023-04-05T12:00:00-03:00;Brazil
BR;Jacareí;Jacareí;-23.29419924, -45.96823386;O3;Sao Paulo CETESB;µg/m³;47.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Pinheiros;-23.56145989, -46.70201651;NO2;Sao Paulo CETESB;µg/m³;43.0;2023-04-05T12:00:00-03:00;Brazil
BR;Santo André;S.André-Capuava;-23.6398037, -46.49163676999999;O3;Sao Paulo CETESB;µg/m³;74.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Bernardo do Campo;S.Bernardo-Centro;-23.69867109, -46.54623219;O3;Sao Paulo CETESB;µg/m³;92.0;2023-04-05T12:00:00-03:00;Brazil
BR;Ribeirão Preto;Ribeirão Preto;-21.15394189, -47.82848053;CO;Sao Paulo CETESB;ppm;0.3;2023-04-05T12:00:00-03:00;Brazil
BR;São Paulo;Ibirapuera;-23.59184199, -46.6606875;CO;Sao Paulo CETESB;ppm;0.5;2023-02-15T21:00:00-03:00;Brazil
BR;Bauru;Bauru;-22.3266084, -49.09275931;O3;Sao Paulo CETESB;µg/m³;82.0;2022-10-04T16:00:00-03:00;Brazil
BR;Grajaú-Parelheiros;Grajaú-Parelheiros;-23.77626598, -46.69696108;PM10;Sao Paulo CETESB;µg/m³;43.0;2023-04-05T12:00:00-03:00;Brazil
BR;Araraquara;Araraquara;-21.78252215, -48.18583181;PM10;Sao Paulo CETESB;µg/m³;50.0;2023-04-05T12:00:00-03:00;Brazil
BR;;Cubatão-Vale do Mogi;-23.83158901, -46.36956879;O3;Sao Paulo CETESB;µg/m³;68.0;2023-04-05T12:00:00-03:00;Brazil
BR;Tatuí;Tatuí;-23.36075154, -47.87079907;NO2;Sao Paulo CETESB;µg/m³;4.0;2023-04-05T12:00:00-03:00;Brazil
BR;São Caetano do Sul;São Caetano do Sul;-23.61844277, -46.55635394;PM2.5;Sao Paulo CETESB;µg/m³;26.0;2023-04-05T12:00:00-03:00;Brazil
BR;Santos;Santos;-23.9630572, -46.32117009;O3;Sao Paulo CETESB;µg/m³;44.0;2022-10-04T16:00:00-03:00;Brazil
BR;;Paulínia-Sul;-22.78680643, -47.13655888;SO2;Sao Paulo;µg/m³;2.0;2017-10-19T21:00:00-03:00;Brazil
BR;Rio de Janeiro;Irajá;-22.8316, -43.3269;O3;rio-city-hall;µg/m³;87.29;2023-09-20T05:00:00-03:00;Brazil
BR;;Jundiaí;-23.19200374, -46.89709727;PM2.5;Sao Paulo CETESB;µg/m³;28.0;2023-04-05T12:00:00-03:00;Brazil
BR;Taubaté;Taubaté;-23.03235096, -45.57580502;PM10;Sao Paulo CETESB;µg/m³;12.0;2023-04-05T12:00:00-03:00;Brazil
